file,column,dtype,rows,null_count,null_percent,non_null_count
data/raw/nyc/202509-citibike-tripdata_2.parquet,start_station_id,VARCHAR,1000000,325,0.03,999675
data/raw/nyc/202509-citibike-tripdata_2.parquet,start_station_name,VARCHAR,1000000,325,0.03,999675
data/raw/nyc/202501-citibike-tripdata_1.parquet,start_lat,DOUBLE,1000000,315,0.03,999685
data/raw/nyc/202501-citibike-tripdata_1.parquet,start_lng,DOUBLE,1000000,315,0.03,999685
data/raw/nyc/202501-citibike-tripdata_1.parquet,start_station_id,VARCHAR,1000000,315,0.03,999685
data/raw/nyc/202501-citibike-tripdata_1.parquet,start_station_name,VARCHAR,1000000,315,0.03,999685
data/raw/nyc/202503-citibike-tripdata_3.parquet,start_lat,DOUBLE,1000000,314,0.03,999686
data/raw/nyc/202503-citibike-tripdata_3.parquet,start_lng,DOUBLE,1000000,314,0.03,999686
data/raw/nyc/202503-citibike-tripdata_3.parquet,start_station_id,VARCHAR,1000000,314,0.03,999686
data/raw/nyc/202503-citibike-tripdata_3.parquet,start_station_name,VARCHAR,1000000,314,0.03,999686
data/raw/nyc/202510-citibike-tripdata_1.parquet,start_lat,DOUBLE,1000000,290,0.03,999710
data/raw/nyc/202510-citibike-tripdata_1.parquet,start_lng,DOUBLE,1000000,290,0.03,999710
data/raw/nyc/202510-citibike-tripdata_1.parquet,start_station_id,VARCHAR,1000000,290,0.03,999710
data/raw/nyc/202510-citibike-tripdata_1.parquet,start_station_name,VARCHAR,1000000,290,0.03,999710
data/raw/nyc/202506-citibike-tripdata_3.parquet,end_station_id,VARCHAR,1000000,289,0.03,999711
data/raw/nyc/202511-citibike-tripdata_1.parquet,start_lat,DOUBLE,1000000,289,0.03,999711
data/raw/nyc/202511-citibike-tripdata_1.parquet,start_lng,DOUBLE,1000000,289,0.03,999711
data/raw/nyc/202511-citibike-tripdata_1.parquet,start_station_id,VARCHAR,1000000,289,0.03,999711
data/raw/nyc/202511-citibike-tripdata_1.parquet,start_station_name,VARCHAR,1000000,289,0.03,999711
data/raw/nyc/202506-citibike-tripdata_3.parquet,end_lat,DOUBLE,1000000,288,0.03,999712
data/raw/nyc/202506-citibike-tripdata_3.parquet,end_lng,DOUBLE,1000000,288,0.03,999712
data/raw/nyc/202502-citibike-tripdata_2.parquet,start_lat,DOUBLE,1000000,282,0.03,999718
data/raw/nyc/202502-citibike-tripdata_2.parquet,start_lng,DOUBLE,1000000,282,0.03,999718
data/raw/nyc/202502-citibike-tripdata_2.parquet,start_station_id,VARCHAR,1000000,282,0.03,999718
data/raw/nyc/202502-citibike-tripdata_2.parquet,start_station_name,VARCHAR,1000000,282,0.03,999718
data/raw/nyc/202503-citibike-tripdata_1.parquet,start_lat,DOUBLE,1000000,258,0.03,999742
data/raw/nyc/202503-citibike-tripdata_1.parquet,start_lng,DOUBLE,1000000,258,0.03,999742
data/raw/nyc/202503-citibike-tripdata_1.parquet,start_station_id,VARCHAR,1000000,258,0.03,999742
data/raw/nyc/202503-citibike-tripdata_1.parquet,start_station_name,VARCHAR,1000000,258,0.03,999742
data/raw/nyc/202504-citibike-tripdata_4.parquet,start_lat,DOUBLE,724596,217,0.03,724379
data/raw/nyc/202504-citibike-tripdata_4.parquet,start_lng,DOUBLE,724596,217,0.03,724379
data/raw/nyc/202504-citibike-tripdata_4.parquet,start_station_id,VARCHAR,724596,217,0.03,724379
data/raw/nyc/202504-citibike-tripdata_4.parquet,start_station_name,VARCHAR,724596,217,0.03,724379
data/raw/nyc/202502-citibike-tripdata_3.parquet,start_lat,DOUBLE,31257,10,0.03,31247
data/raw/nyc/202502-citibike-tripdata_3.parquet,start_lng,DOUBLE,31257,10,0.03,31247
data/raw/nyc/202502-citibike-tripdata_3.parquet,start_station_id,VARCHAR,31257,10,0.03,31247
data/raw/nyc/202502-citibike-tripdata_3.parquet,start_station_name,VARCHAR,31257,10,0.03,31247
data/raw/nyc/202501-citibike-tripdata_2.parquet,start_lat,DOUBLE,1000000,219,0.02,999781
data/raw/nyc/202501-citibike-tripdata_2.parquet,start_lng,DOUBLE,1000000,219,0.02,999781
data/raw/nyc/202501-citibike-tripdata_2.parquet,start_station_id,VARCHAR,1000000,219,0.02,999781
data/raw/nyc/202501-citibike-tripdata_2.parquet,start_station_name,VARCHAR,1000000,219,0.02,999781
data/raw/nyc/202508-citibike-tripdata_3.parquet,end_lat,DOUBLE,1000000,206,0.02,999794
data/raw/nyc/202508-citibike-tripdata_3.parquet,end_lng,DOUBLE,1000000,206,0.02,999794
data/raw/nyc/202508-citibike-tripdata_3.parquet,end_station_id,VARCHAR,1000000,206,0.02,999794
data/raw/nyc/202503-citibike-tripdata_1.parquet,end_station_id,VARCHAR,1000000,192,0.02,999808
data/raw/nyc/202503-citibike-tripdata_1.parquet,end_lat,DOUBLE,1000000,191,0.02,999809
data/raw/nyc/202503-citibike-tripdata_1.parquet,end_lng,DOUBLE,1000000,191,0.02,999809
data/raw/nyc/202509-citibike-tripdata_4.parquet,end_lat,DOUBLE,1000000,161,0.02,999839
data/raw/nyc/202509-citibike-tripdata_4.parquet,end_lng,DOUBLE,1000000,161,0.02,999839
data/raw/nyc/202509-citibike-tripdata_4.parquet,end_station_id,VARCHAR,1000000,161,0.02,999839
data/raw/nyc/202506-citibike-tripdata_4.parquet,end_lat,DOUBLE,1000000,157,0.02,999843
data/raw/nyc/202506-citibike-tripdata_4.parquet,end_lng,DOUBLE,1000000,157,0.02,999843
data/raw/nyc/202506-citibike-tripdata_4.parquet,end_station_id,VARCHAR,1000000,157,0.02,999843
data/raw/nyc/202511-citibike-tripdata_4.parquet,start_lat,DOUBLE,417052,104,0.02,416948
data/raw/nyc/202511-citibike-tripdata_4.parquet,start_lng,DOUBLE,417052,104,0.02,416948
data/raw/nyc/202511-citibike-tripdata_4.parquet,start_station_id,VARCHAR,417052,104,0.02,416948
data/raw/nyc/202511-citibike-tripdata_4.parquet,start_station_name,VARCHAR,417052,104,0.02,416948
data/raw/nyc/202501-citibike-tripdata_3.parquet,start_lat,DOUBLE,124475,30,0.02,124445
data/raw/nyc/202501-citibike-tripdata_3.parquet,start_lng,DOUBLE,124475,30,0.02,124445
data/raw/nyc/202501-citibike-tripdata_3.parquet,start_station_id,VARCHAR,124475,30,0.02,124445
data/raw/nyc/202501-citibike-tripdata_3.parquet,start_station_name,VARCHAR,124475,30,0.02,124445
data/raw/nyc/202507-citibike-tripdata_2.parquet,end_lat,DOUBLE,1000000,144,0.01,999856
data/raw/nyc/202507-citibike-tripdata_2.parquet,end_lng,DOUBLE,1000000,144,0.01,999856
data/raw/nyc/202507-citibike-tripdata_2.parquet,end_station_id,VARCHAR,1000000,144,0.01,999856
data/raw/nyc/202507-citibike-tripdata_5.parquet,end_lat,DOUBLE,988053,136,0.01,987917
data/raw/nyc/202507-citibike-tripdata_5.parquet,end_lng,DOUBLE,988053,136,0.01,987917
data/raw/nyc/202507-citibike-tripdata_5.parquet,end_station_id,VARCHAR,988053,136,0.01,987917
data/raw/nyc/202509-citibike-tripdata_5.parquet,end_lat,DOUBLE,1000000,136,0.01,999864
data/raw/nyc/202509-citibike-tripdata_5.parquet,end_lng,DOUBLE,1000000,136,0.01,999864
data/raw/nyc/202509-citibike-tripdata_5.parquet,end_station_id,VARCHAR,1000000,136,0.01,999864
data/raw/nyc/202503-citibike-tripdata_3.parquet,end_lat,DOUBLE,1000000,117,0.01,999883
data/raw/nyc/202503-citibike-tripdata_3.parquet,end_lng,DOUBLE,1000000,117,0.01,999883
data/raw/nyc/202503-citibike-tripdata_3.parquet,end_station_id,VARCHAR,1000000,117,0.01,999883
data/raw/nyc/202508-citibike-tripdata_3.parquet,end_station_name,VARCHAR,1000000,116,0.01,999884
data/raw/nyc/202506-citibike-tripdata_3.parquet,end_station_name,VARCHAR,1000000,99,0.01,999901
data/raw/nyc/202508-citibike-tripdata_4.parquet,end_lat,DOUBLE,1000000,91,0.01,999909
data/raw/nyc/202508-citibike-tripdata_4.parquet,end_lng,DOUBLE,1000000,91,0.01,999909
data/raw/nyc/202508-citibike-tripdata_4.parquet,end_station_id,VARCHAR,1000000,91,0.01,999909
data/raw/nyc/202509-citibike-tripdata_2.parquet,end_lat,DOUBLE,1000000,88,0.01,999912
data/raw/nyc/202509-citibike-tripdata_2.parquet,end_lng,DOUBLE,1000000,88,0.01,999912
data/raw/nyc/202509-citibike-tripdata_2.parquet,end_station_id,VARCHAR,1000000,88,0.01,999912
data/raw/nyc/202505-citibike-tripdata_4.parquet,end_lat,DOUBLE,1000000,85,0.01,999915
data/raw/nyc/202505-citibike-tripdata_4.parquet,end_lng,DOUBLE,1000000,85,0.01,999915
data/raw/nyc/202505-citibike-tripdata_4.parquet,end_station_id,VARCHAR,1000000,85,0.01,999915
data/raw/nyc/202506-citibike-tripdata_2.parquet,end_lat,DOUBLE,1000000,78,0.01,999922
data/raw/nyc/202506-citibike-tripdata_2.parquet,end_lng,DOUBLE,1000000,78,0.01,999922
data/raw/nyc/202506-citibike-tripdata_2.parquet,end_station_id,VARCHAR,1000000,78,0.01,999922
data/raw/nyc/202503-citibike-tripdata_1.parquet,end_station_name,VARCHAR,1000000,76,0.01,999924
data/raw/nyc/202508-citibike-tripdata_2.parquet,end_lat,DOUBLE,1000000,62,0.01,999938
data/raw/nyc/202508-citibike-tripdata_2.parquet,end_lng,DOUBLE,1000000,62,0.01,999938
data/raw/nyc/202508-citibike-tripdata_2.parquet,end_station_id,VARCHAR,1000000,62,0.01,999938
data/raw/nyc/202511-citibike-tripdata_1.parquet,end_station_name,VARCHAR,1000000,52,0.01,999948
data/raw/nyc/202511-citibike-tripdata_4.parquet,end_lat,DOUBLE,417052,32,0.01,417020
data/raw/nyc/202511-citibike-tripdata_4.parquet,end_lng,DOUBLE,417052,32,0.01,417020
data/raw/nyc/202511-citibike-tripdata_4.parquet,end_station_id,VARCHAR,417052,32,0.01,417020
data/raw/nyc/202505-citibike-tripdata_5.parquet,end_lat,DOUBLE,325553,24,0.01,325529
data/raw/nyc/202505-citibike-tripdata_5.parquet,end_lng,DOUBLE,325553,24,0.01,325529
data/raw/nyc/202505-citibike-tripdata_5.parquet,end_station_id,VARCHAR,325553,24,0.01,325529
data/raw/nyc/202503-citibike-tripdata_4.parquet,end_lat,DOUBLE,168271,14,0.01,168257
data/raw/nyc/202503-citibike-tripdata_4.parquet,end_lng,DOUBLE,168271,14,0.01,168257
data/raw/nyc/202503-citibike-tripdata_4.parquet,end_station_id,VARCHAR,168271,14,0.01,168257
data/raw/nyc/202510-citibike-tripdata_1.parquet,end_station_name,VARCHAR,1000000,49,0.0,999951
data/raw/nyc/202508-citibike-tripdata_6.parquet,end_lat,DOUBLE,121533,2,0.0,121531
data/raw/nyc/202508-citibike-tripdata_6.parquet,end_lng,DOUBLE,121533,2,0.0,121531
data/raw/nyc/202508-citibike-tripdata_6.parquet,end_station_id,VARCHAR,121533,2,0.0,121531
data/context/london_stations.parquet,lat,DOUBLE,798,0,0.0,798
data/context/london_stations.parquet,lng,DOUBLE,798,0,0.0,798
data/context/london_stations.parquet,station_id,VARCHAR,798,0,0.0,798
data/context/london_stations.parquet,station_name,VARCHAR,798,0,0.0,798
data/context/urban_form/chicago_grid_metrics.parquet,cell_area_km2,DOUBLE,2651,0,0.0,2651
data/context/urban_form/chicago_grid_metrics.parquet,cell_id,VARCHAR,2651,0,0.0,2651
data/context/urban_form/chicago_grid_metrics.parquet,cell_max_x,DOUBLE,2651,0,0.0,2651
data/context/urban_form/chicago_grid_metrics.parquet,cell_max_y,DOUBLE,2651,0,0.0,2651
data/context/urban_form/chicago_grid_metrics.parquet,cell_min_x,DOUBLE,2651,0,0.0,2651
